,input,output
10818,(q(r∧s))⊢(s∨(q→(r∧s))),t(s∧p)(t→(t∧s))(q∨(s→(q∧q)))
10819,((p∨r)p)⊢(q∨(p∨r)),(t∨p)p(p∨()(t∨((∨∨))
10820,((p→q)r)⊢(s∨(p→q)),(q→s)p((∨→p)∨))(∨(→))
10821,(q(s∧(p→s)))⊢s,q(r∧(p→p))(q∧(q∧(q→q)))q
10822,(r(t∧(r∧r)))⊢(r∨q),q(r∧(p∧p))((∨∨))
10823,(q(¬q))⊢⊥,(¬¬))⊥⊥
10824,((p∧p)r)⊢(r→p),(r∧q)qt(t→q)
10825,((¬p)(t→s))⊢((¬p)∧(t→s)),(¬p)(p→p)((¬s)∧(t→s))
10826,(((p→r)∨p)(p∧p))⊢(((p→r)∨p)∧(((p→r)∨p)∨r)),((s→t)∧q)(q∧p)(((s→s)∨()∨()∨(()∧()→))∧(((((p)∨)))))))
10827,(p(r∨q))⊢((r∨q)∨r),t(s∨r)((∨∨)((r∨()∨∨)
10828,((¬q)p)⊢((¬q)→p),(¬p)p((¬p)→p)
10829,(s(s→t))⊢((r∨s)∨t),t(s→p)(t∨p)((t∨q)∨s)
10830,((r∧q)(¬t))⊢(q∨((¬t)∨s)),(s∧q)(¬p)((¬p)∨p)(r∨((¬p)∨r))
10831,((q∨(¬r))r)⊢(q∨r),(q∨(¬q))s((∨∨)¬∨))∨
10832,((t→(q∨s))r)⊢r,(t→(p∨s))s((t→(r∨s))∧p)s
10833,(p(t∨q))⊢(p∨(p∨(t∨q))),t(q∨s)(t∨(r∨s))(q∨(s∨(t∨s)))
10834,(s(q∨q))⊢(s∨p),q(s∨r)(r∧()∨))(∨)
10835,((s∨(s∨t))t)⊢(t∧(t∨r)),(t∨(p∨s))s(p∨s)(s∧(p∨p))
10836,((s∨p)s)⊢(((s∨p)∨s)∨p),(t∨p)p((p∨s)∨t)(((t∨t)∨s)∨s)
10837,(s((s∨p)→s))⊢(s→((s∨p)→s)),q((q∨p)→s)(q→((t∨p)→r))
10838,((p→s)(q∨q))⊢((p→s)∨t),(q→s)(p∨p)((∨→p)∨))((r→p)∨→)
10839,(((p∧p)∧s)p)⊢(p∧(p∨q)),((s∧p)∧p)s(s∨q)(q∧(q∨p))
10840,((q∧(q→q))(¬q))⊢(¬q),(q→(q→q))(¬q)((s∨(q→s))∧(¬q))(¬p)
10841,((s∨(p∨t))(p∧r))⊢((p∧r)∧r),(s∨(p→q))(p∧s)q((p∧p)∧p)
10842,((t∨s)q)⊢(q∨s),(s∨p)p((∨∨))))
10843,((r∧(s∨q))(q∨t))⊢((q∨t)∨s),(r∧(p∨q))(p∨s)((∨∨(((p)))
10844,(q(t→s))⊢((q∨t)∨s),t(s→p)(t∨p)((t∨t)∨s)
10845,(((s→q)∨s)(t∧q))⊢(t∨q),((q→t)∧p)(q∧q)q(p∨s)
10846,(s(s∧t))⊢(s→s),q(r∧q)q(q→r)
10847,(((r∧r)∧t)p)⊢(p→(p∨s)),((s∧p)∧p)s(p∨p)(q→(q∨q))
10848,(p((r∨p)∨t))⊢((p∨s)∨q),p((s∨p)∨s)(s∨()((t∨∨)∨))
10849,((¬q)(p→q))⊢(q∨(p→q)),(¬p)(p→s)((∨()→)))(∨((→→))
10850,(((p∨p)∨s)r)⊢(((p∨p)∨s)∧r),((q∨p)∨s)s(((t∨t)∨t)∧p)
10851,((t∨t)(s∨s))⊢((s∨s)→((s∨s)∨p)),(q∨r)(r∨p)((p∨p)∨s)((t∨p)∧((p∨r)∨s))
10852,(((q∨s)∧q)r)⊢(r∨r),((q∨p)∧t)s((∨∨))
10853,(s(p∨(s∨r)))⊢(t∨s),r(s∨(t∨s))(r∨()∨(∨)
10854,((t∧q)s)⊢((t∧q)∨q),(s∧s)q((t∧p)∨r)(()∨)
10855,((s∨r)(s∨p))⊢(t∨(s∨p)),(s∨p)(p∨p)((∨(p∨∨))(∨(p∨p))
10856,((q∨(¬q))p)⊢(q∨p),(q∨(¬q))s((∨∨)(∨))∨
10857,(((p∧s)∧t)(q→r))⊢((q→r)∨q),((p∧t)∧q)(p→q)(((t∧()∨)))(
10858,((r∧(q∧t))p)⊢(p→(p∨s)),(q∧(p∧p))s(t∨t)(q→(q∨q))
10859,((q∧p)((s∨q)∨p))⊢((q∧p)∧p),(q∧p)((p→t)→s)q((r∧p)∧p)
10860,(r(s∧s))⊢((s∧s)∧s),p(s∧t)s((t∧q)∧p)
10861,((p∨(p→t))(p∨q))⊢((p∨(p→t))→(p∨q)),(s∨(p→q))(p→s)((s∨(p→s))→(s∨s))
10862,((¬p)((s∧q)∧q))⊢(t∨(¬p)),(¬p)((s→s)∧s)(s∨(¬())(
10863,(q(q∧(r∨r)))⊢(q∨p),p(r∧(p∨s))((∨∨))
10864,((s∧r)(p∨r))⊢((s∧r)∧((s∧r)∨r)),(q∧p)(q∨p)((p∧p)∨t)((s∧p)∧((p∧q)∨s))
10865,(((p∧q)→t)t)⊢((t∨q)∨t),((s∧p)→p)s(s∨s)((s∨t)∨s)
10866,((p∨t)(p∧r))⊢(p∨t),(q∨s)(p∧p)((s∨s)
10867,((q∨(¬p))r)⊢(t∨(r∨r)),(q∨(¬q))s(s∨t)(t∨(q∨q))
10868,(s(t→r))⊢((t→r)→(r∨(t→r))),p(s→s)(p∨(t→s))((t→s)∧(t∨(t→t)))
10869,((¬r)q)⊢(t∨q),(¬p)p((∨p)
10870,(((t∧t)∧s)(r→t))⊢s,((s∧t)∧p)(q∧p)p
10871,(t(r∨(q∧q)))⊢((r∨(q∧q))∨s),r(s∨(p∧p))(r∧()∨(r∧))))((r∨(∧))∨)
10872,((p∧p)s)⊢(p∨t),(s∧s)q((∨∨))
10873,((t∧r)(¬r))⊢(s∨(t∧r)),(s∧q)(¬p)((∨((∧∧)))
10874,(t(p→(t→q)))⊢t,q(r→(p→s))(q∧(r→(q→s)))q
10875,((p∧(r∧q))(r∧(q∨r)))⊢(p∨(p∧(r∧q))),(q→(p∧q))(q∧(r∧s))(t∨((∧((∧∧))))
10876,(s(r∧(q∨r)))⊢(s→(s∨s)),p(r∧(p∨s))(s∨p)(r→(t∨p))
10877,((p∧t)(s∧t))⊢(q∨(s∧t)),(q∧q)(s∧p)((∨(p∧∧))(∨(∧))
10878,(q(t→(q∨q)))⊢(q→(q∨q)),r(t→(p∨s))(s∨()(r→(t∨)))
10879,((s∨(p∨t))(p∧r))⊢(t∨(p∧r)),(s∨(p→q))(p∧q)((∨∨(∧∧)))
10880,((¬p)q)⊢((¬p)∨q),(¬p)p((¬p)∨r)¬)
10881,((p∨(p→q))r)⊢(r∨t),(t∨(p→p))s((∨∨)(∨))
10882,(q((s∧s)∧p))⊢(((s∧s)∧p)∨t),q((s∧p)∧p)((∨()(((∧∧p)∧r)∨r)
10883,((r→(r∧r))t)⊢(t∧((r→(r∧r))→t)),(q→(p∧s))s((r∨(s∧s)∧r))(s∧((s∧(t∧s))∧t)∧s)))
10884,(r(s→t))⊢((s→t)∨p),t(s→r)(t∨()→())((∨→))∨)
10885,(t(s∧p))⊢((s∧p)∨r),p(s∧t)((∨(t∧∨))((∧)∨)
10886,((¬q)(s∧t))⊢(q∨(s∧t)),(¬p)(p∧t)((∨((∧∧)))
10887,((¬t)(r∨t))⊢((¬t)→(p∨(¬t))),(¬p)(s∨s)(t∨(¬p))((¬p)∧(p∨(¬s)))
10888,(t(r∧s))⊢(t∧r),q(r∧r)((∧∧r)
10889,(t(s∨s))⊢(t∧(p∨t)),t(q∨r)(t∨p)(r∧(t∨p))
10890,((t→(t∨t))(¬s))⊢(s∨(¬s)),(q∨(q→s))(¬s)((∨((s))))∨(¬))
10891,((p∧(t→s))(p→p))⊢((p→p)∨t),(r∧(p→q))(p→s)((s→()(t)))
10892,((q∧s)(r∧s))⊢((r∧s)→q),(r∧q)(s∧t)q((p∧q)→q)
10893,((p∨t)(p∨p))⊢(p∨(t∨(p∨p))),(q∨s)(p∨p)(t∨(p∨r))(s∨(p∨(p∨p)))
10894,((s∨t)(¬t))⊢((¬t)∨q),(s∨q)(¬p)((¬())∨))((¬))∨)
10895,((q→r)(s∨(t∧p)))⊢((q→r)∧(s∨(t∧p))),(s→p)(s→(r∧p))(q∨(s∧r))((p∧s)→(t∨(t∧p)))
10896,((t∧(r∨s))q)⊢(t∨(r∨s)),(r∧(p∨s))s(t∨s)(t∨(q∨s))
10897,((t∨s)s)⊢(s∧(q∨s)),(t∨p)p(p∨p)(q∧(t∨p))
10898,(t(r∨p))⊢((r∨p)∨q),t(s∨r)((∨∨)((r∨()∨∨)
10899,((t∨t)(r∨s))⊢((t∨t)→((t∨t)∨s)),(q∨r)(r∨p)((p∨p)∨t)((t∨p)∧((p∨r)∨s))
10900,((s∨(r∨p))((p∨s)∧r))⊢(q∨((p∨s)∧r)),(s∨(p∧q))((p∧s)→s)((∨((p(s))∨))((∧)))
10901,((r∨(r∨r))p)⊢(p∨p),(t∨(p∨s))s((∨∨)(∨∨)
10902,((p→s)(p∨t))⊢((p∨t)∨s),(q→r)(p∨p)((∨∨p)∨))((r∨p)∨)
10903,((t∧t)p)⊢((t∧t)→t),(p∧s)qt((p∧t)→q)
10904,((q∧s)q)⊢(q∨p),(t∧s)q((∨∨))
10905,(t(s∨r))⊢(t∨r),q(s∨r)(r∧()∨))(∨)
10906,((t→p)s)⊢((t→p)∧((t→p)∨q)),(t→s)q((p→s)∨s)((s→p)∧((s→s)∨s))
10907,(s(t∧(r∧t)))⊢(s∨q),q(r∧(p∧p))((∨∨))
10908,(q(q∧(p→p)))⊢(q∨(p→p)),q(r∧(p→p))(q→p)(s∨(s→s))
10909,(r((q→r)∧t))⊢(r∨s),q((q→p)∧p)((∨∨)(
10910,(p((q∨p)∧q))⊢(p∨p),q((q∨p)∧p)((∨∨)
10911,((p∧t)(s∧t))⊢p,(p∧p)(t∧s)s
10912,((p∧t)s)⊢((p∧t)∨r),(s∧s)q((t∧p)∨r)(()∨
10913,((q∧t)((t∨p)∨s))⊢(((t∨p)∨s)∨r),(q∧p)((p∨t)∨t)((s∧p)∨()(((r∧)∨)∨)
10914,(r(s∧q))⊢((s∧q)∨q),p(s∧t)((∨()∧∨))((∧)∨)
10915,(((t∧r)∨p)r)⊢(r∨p),((s∧p)∨q)s((∨r)()∨)
10916,(q(q∧t))⊢(p∨q),q(s∧p)((∨∨))
10917,(t(p∧(t∧s)))⊢(t→(s∨t)),q(r∧(p∧p))(q∨p)(q→(q∨q))
10918,(((q∨p)∧q)(p∧t))⊢(((p∧t)∨r)∨s),((q∨p)∨q)(t∧p)((s∧p)∨s)(((s∧p)∨s)∨s)
10919,((s∨t)s)⊢(q∨s),(s∨p)p((∨∨))))
10920,((r→t)((t→t)∧q))⊢(q∨((r→t)∨s)),(q→p)((s→t)→t)((r→p)∨r)(t∨((t→)∨))
10921,(p(p∧(q∧q)))⊢(q∨(p∧(q∧q))),q(r∧(p∧p))(r∨()∧∧∨∧t)))∧))∧
10922,(((p∧q)∧t)((q∨t)→r))⊢p,((s∧p)∧q)((p∧q)∧q)(s∧)
10923,((q∨r)((¬t)∨p))⊢(((¬t)∨p)∧((q∨r)→((¬t)∨p))),(s→q)(s∧(¬p))((s→()(()((¬q)))((¬(¬))))∧((¬()∧(¬∧())))))
10924,((t∧q)(r∧r))⊢((r∧r)∨t),(q∧q)(s∧s)((∨∧p)∨))((∧)∨)
10925,((p∧t)(s∨(p∨r)))⊢(p∨p),(s∧p)(s→(r→p))s(s∨s)
10926,((q∧q)(p∧t))⊢(s∨(p∧t)),(q∧q)(s∧p)((∨(p∧∧))(∨(∧))
10927,((p∧r)t)⊢(q∨p),(s∧s)q((∨∨))
10928,((r∨p)q)⊢(t∨(q∨t)),(t∨p)p(p∨()(t∨((∨∨))
10929,((r∧q)(¬t))⊢(r∨(¬t)),(s∧q)(¬p)((∨(¬¬)))
10930,((r∨(s→t))s)⊢((r∨(s→t))∨p),(t∨(p→s))s((∨∨(p→s))∨s)((r∨(→))∨)
10931,((s∧p)p)⊢(p→(t∨p)),(s∧s)p(p∨p)(q→(q∨q))
10932,(r(r∧(p∨q)))⊢(r∧(r∧(p∨q))),p(t∧(p∨s))(p→(r∧(q∨s)))
10933,((q∧p)t)⊢(q∨r),(s∧s)q((∨∨))
10934,((r→p)(t∨q))⊢(q∨(t∨q)),(q→s)(p∨p)((∨(p)∨))(∨(t∨p))
10935,(r(p∧t))⊢(t∨t),q(s∧q)((∨∨))
10936,(p(p∧(q→q)))⊢(t∨p),p(r∧(p→p))((∨∨))
10937,(q(r→r))⊢((q∨t)∨t),t(s→p)(t∨p)((t∨q)∨s)
10938,(p((p∧t)→q))⊢(((p∧t)→q)∨r),p((s∧p)→s)(s∧(((∧()∧p))()(r)))
10939,(((r∨p)→t)q)⊢((q∨q)∨p),((q∨p)→p)s(s∨s)((p∨t)∨s)
10940,((¬p)((s→p)∨r))⊢((¬p)∧((s→p)∨r)),(¬p)((s→t)∨t)((¬p)∨s)((¬r)→((p→p)∨s))
10941,((p∨t)r)⊢((p∨t)∨q),(t∨q)q((∨∨)((t∨()∨∨)
10942,((s∨r)(¬t))⊢((¬t)∧(s∨(¬t))),(s∨q)(¬p)(t∨(¬p))((¬p)∧(q∨(¬s)))
10943,((r∨r)((¬s)∨s))⊢((r∨r)∨q),(s∨q)((¬r)→s)((∨∨p)∨))(()→()∨)
10944,((q∧p)(p∨p))⊢(t∨(p∨p)),(q∧p)(p∨p)((∨(p)∨))(∨(∨))
10945,(((p∨p)∨s)r)⊢(t∨((p∨p)∨s)),((q∨p)∨s)s((∨((r∨∨))∨))(∨((∨)∨))
10946,((t∧p)(¬t))⊢((¬t)∧((¬t)∨p)),(s∧q)(¬p)((¬p)∨t)((¬p)∧((¬p)∨s))
10947,((s∧r)t)⊢(r∨(s∧r)),(p∧s)s((∨((∧∧))(∨())
10948,((¬s)(p∧t))⊢(p∨(p∧t)),(¬p)(p∧t)((∨((∧∧)))
10949,((s∨s)q)⊢((s∨s)→q),(p∨p)s((t∨p)→p)
10950,(((q→q)→t)t)⊢((t∨r)∨q),((t→t)→p)s(s∨s)((p∨t)∨s)
10951,(((t→t)∧s)q)⊢(t∨q),((t→t)∧t)s((∨∨)))
10952,((¬p)(s→p))⊢(r∨(q∨(¬p))),(¬p)(t∧p)(s∨(¬p))(s∨(q∨(¬p)))
10953,(p(s∨r))⊢((s∨r)∨s),t(s∨r)((∨∨)((r∨()∨∨)
10954,((r∧s)q)⊢((r∧s)→((r∧s)→q)),(r∧q)q((p∧s)∨s)((s∧p)∧((p∧q)∧q))
10955,(t((s→r)∨t))⊢((s→r)∨t),p((p→t)∨s)(s∧((t→t)∨s))((t→p)∨p)
10956,(((p∨p)∨s)r)⊢(r∨t),((q∨p)∨s)s((∨r)(∨∨)
10957,((q∧(s∨t))(q→q))⊢((q∧(s∨t))∧(p∨(q∧(s∨t)))),(q∧(q∧s))(s→s)((∨((∨∨()∨)))(((∨(r∧p))∧(q∨(s∨(t→s)))))
10958,(r(s→s))⊢(r∧(s→s)),t(t→s)(q∧(r→s))
10959,(t((s∨r)→t))⊢(((s∨r)→t)∨r),p((q∨p)→p)(s∨((((()→∨))(((r)))∨)
10960,(((t→t)∧q)(¬r))⊢(q∨((t→t)∧q)),((s→q)∧q)(¬s)((∨((()))))))
10961,((p→s)q)⊢(p→s),(s→s)s((t→r)∧s)(t→p)
10962,(p(r→p))⊢(p→(p∨s)),t(s→p)(t∨p)(q→(q∨q))
10963,((r→q)((s→t)∧p))⊢(s→t),(q→p)((p→t)∧t)((r→t)∧((→∧p)∧))(p→)
10964,(t(s∧r))⊢((r∨t)∨s),t(s∧p)(t∨p)((p∨q)∨q)
10965,((t∧(s∨s))s)⊢(r∨(p∨s)),(r∧(p∨s))s(t∨s)(t∨(q∨s))
10966,(((¬t)→q)(r∨(p→q)))⊢((r∨(p→q))∨p),((¬r)∨q)(s∨(r∧s))((∨((¬→))∨))((()))∨)
10967,(r(t→q))⊢(t∨(t→q)),t(s→r)(t∨(s→p))(∨(→))
10968,((t∧(¬q))r)⊢(r∧(r∨s)),(s∧(¬q))s(s∨q)(s∧(q∨p))
10969,((s∧q)(r∧s))⊢(s∨(r∧s)),(q∧q)(s∧p)((∨(p∧∧))(∨(∧))
10970,(q(t∧r))⊢(t∧r),q(r∧r)((∧∧r)
10971,(q(r∧(q∨t)))⊢(t∨(q∧(r∧(q∨t)))),q(r∧(p∨s))(r∧(s∧(r∧r)))(s∧(r∧(r∧(s∧p))))
10972,((¬q)r)⊢(t∨r),(¬p)p((∨p)
10973,((s∧(¬t))t)⊢(t→(t∨r)),(s∧(¬q))s(t∨t)(q→(q∨q))
10974,((s∨(q∧r))((p∨r)∨t))⊢(p∨((p∨r)∨t)),(s∨(p∨q))((p→s)∨s)((∨((p→s))∨))(t∨((s→s)∨r))
10975,(t(t∨t))⊢(t∨q),q(s∨r)(r∧()∨))(∨)
10976,(((r∨p)→r)t)⊢(s∨((r∨p)→r)),((q∨p)→s)s((((∨r)→))∨))(∨((∨)→))
10977,((t→r)t)⊢((t→r)∨q),(s→s)s((t→))∨t)((→)∨)
10978,(((¬t)∨p)p)⊢(p∨s),((¬r)∨q)s((∨¬)(∨))
10979,((p∧t)(s∨(p∨r)))⊢((p∧t)∧((p∧t)∨p)),(s∧p)(s→(r∨p))((s∧p)∨r)((p∧r)→((p∧p)∨r))
10980,((p∧s)(s∨p))⊢((p∧s)∨t),(q∧p)(s∨p)((∨∧p)∨))((∧)∨)
10981,((p→t)(q∨s))⊢(r∨(q∨s)),(q→r)(p∨p)((∨(p)∨))(∨(∨))
10982,((r∧(r→q))s)⊢(t∨s),(r∧(p→q))s((∨∨))
10983,(r(s∧q))⊢((s∨r)∨t),t(s∧p)(t∨p)((p∨q)∨q)
10984,((p∧t)p)⊢(p∨s),(s∧s)q((∨∨))
10985,((r∧(p∧q))t)⊢(t∨(r∧(p∧q))),(r∧(p∧q))s((∨∧(∧∧q∧)∧))(∨(∧∧)))
10986,((q→(¬s))(p∧t))⊢((p∧t)∨q),(q∨(¬q))(t∧s)(((∧∧)∨)))(∧
10987,((p∧r)r)⊢((s∨(p∧r))∨r),(r∧p)q(t∨(t∧s))((r∨(r∧s))∨s)
10988,((s∧s)((t∧p)→s))⊢((s∧s)∨r),(q∧p)((p→t)→s)(((∧∧)∨∨))
10989,((s∧p)(r∧q))⊢((s∧p)∧s),(r∧q)(s∧t)q((p∧p)∧q)
10990,(s(q∧p))⊢(s→(q∧p)),p(s∧r)(q→(r∧p))
10991,(((s∧p)∧p)q)⊢(q∨r),((s∧p)∧p)p((∨∨)))
10992,((p∨r)p)⊢((p∨r)→((p∨r)∨r)),(t∨p)p((t∨s)∨s)((t∨s)∧((p∨p)∨s))
10993,(p(q∨q))⊢((p∧(q∨q))∨q),t(q∨s)(t∧(p∨s))((t∧(t∨s))∨t)
10994,(p((s→r)∧s))⊢(((s→r)∧s)∨t),q((s→t)∧t)((∨()((()→p)∧()∨r)
10995,(((t→p)→q)p)⊢(((t→p)→q)∧(((t→p)→q)∧p)),((s→t)∧q)q(((s→r)∨r)→t)(((s→r)∨q)∧(((q∨p)∧p)→q))
10996,((r→(p∨p))p)⊢(p∧(p∨p)),(t→(p∨s))s(s∨s)(s∧(t∨s))
10997,(q(q→q))⊢(q∨p),q(t→s)(q∨()→))(∨)
10998,(p(t∧p))⊢(r∨p),q(s∧p)((∨∨))
10999,(((q∨q)→p)s)⊢(s∧(p∨s)),((q∨p)→p)s(t∨p)(q∧(q∨p))
11000,((s∧p)(s→p))⊢((s→p)∨s),(q∧p)(p→p)((∨→p)∨))((→)∨)
11001,(s(p∧s))⊢(s∨s),q(s∧p)((∨∨))
11002,(s(t→t))⊢s,q(r→r)(q∧(r→s))q
11003,(r(t∧q))⊢(r∨r),q(r∧q)((p∨))
11004,(p(r→(¬r)))⊢(p∨s),q(s→(¬q))(r∨()((¬)
11005,((s∨r)(¬t))⊢(¬t),(s∨q)(¬p)((s∨t)∧(¬p))(¬p)
11006,((r∧q)s)⊢(r∨s),(s∧q)q((∨∨))
11007,(r((¬s)∧p))⊢p,q((¬r)∧p)(q∧((¬r)∧p))s
11008,(r(t∧r))⊢((t∧r)→t),p(s∧t)t((t∧t)→p)
11009,((s∨s)(¬t))⊢((¬t)→((¬t)∨t)),(s∨q)(¬p)((¬p)∨p)((¬p)∧((¬p)∨s))
11010,(q(q∨t))⊢(p∨q),q(s∨r)(r∧()∨))(∨)
11011,(((r∧r)∨p)(t∧p))⊢((t∧p)∧t),((s∧p)∧q)(p∧q)q((p∧p)→p)
11012,((p→(t∧s))t)⊢(t∨r),(t→(p∧p))s((∨s))
11013,((q∨r)(p→(s∨s)))⊢((q∨r)∨t),(s∨p)(s→(r∨p))((∨∨r)∨t)((t∨)∨)
11014,(t(r∧s))⊢(r∨(r∧s)),p(s∧t)((∨(p∧t))(∨(∧))
11015,((q→p)(r→t))⊢(q∨(r→t)),(s→s)(p→p)((∨→s→∨))(p∨(t→p))
11016,((r∧q)(s∨r))⊢(((s∨r)∨p)∨r),(q∧p)(p∨p)((p→p)∨p)(((q→p)∨p)∨q)
11017,(t((r∨q)∧t))⊢(t→(r∨t)),q((q∨p)∧p)(p∨p)(q→(q∨q))
11018,((¬p)(p∧p))⊢((¬p)∧(s∨(¬p))),(¬p)(s∧s)(t∨(¬p))((¬p)∧(q∨(¬s)))
11019,(((t∧s)→q)(¬s))⊢((¬s)∨t),((s∧s)→q)(¬s)((¬()∨))))¬)¬
11020,((p→q)(s∧p))⊢(q∨(s∧p)),(s→s)(s∧p)((∨(s∧∧))(∨(∧))
11021,((t→r)s)⊢(s∨p),(s→s)q((∨r))∨))
11022,((q∨s)(r∧s))⊢(s∨(q∨s)),(q∨s)(p∧p)((∨∨p)∨))(∨(∨))
11023,((t∨p)(¬t))⊢((¬t)∨p),(s∨q)(¬p)((¬())∨))((¬))∨)
11024,((t∨q)(t∨r))⊢(t∨(t∨q)),(s∨p)(p∨p)((∨(p∨∨))(∨(p∨p))
11025,((p∧t)q)⊢(t∨q),(t∧q)q((∨∨))
11026,(r(s∧p))⊢p,q(r∧q)(
11027,((r∨(r∨p))(¬s))⊢((r∨(r∨p))→(¬s)),(s∨(r→q))(¬q)((s→(q→s))→(¬s))
11028,(r((r∨t)→t))⊢(q∨((r∨t)→t)),p((q∨p)→p)(s∨((s∨t)→q))(∨((∨)→))
11029,((s→q)(s∧t))⊢(q∨(s→q)),(s→s)(p∧s)((∨(s)∨))(∨(→))
11030,(r(s→(q→s)))⊢(q∨r),q(r→(p→p))(r∨()(∨)
11031,(q(q∨s))⊢((q∨s)∨s),t(q∨r)((∨∨)((r∨()∨∨)
11032,(q(p∧r))⊢(q∨(t∨q)),t(s∧p)(p∨p)(t∨(q∨q))
11033,(q(t∧(¬s)))⊢(q∨t),q(s∧(¬q))((∨∨)
11034,((p∧p)s)⊢(p∨(p∧p)),(s∧s)s((∨(p)∧))(∨())
11035,(((q∧r)∧t)q)⊢((r∨q)∨s),((s∧p)∧p)s(s∨p)((q∨q)∨s)
11036,(q(t∨r))⊢(t∨q),q(s∨r)(r∧()∨))(∨)
11037,((q∧(¬t))(q∨s))⊢(q∨(r∨(q∨s))),(q∨(¬q))(p∨s)((∨((∨())()))∨()
11038,((r→(r∧r))(p∧r))⊢(q∨p),(s→(p→q))(q∧p)q(s∨s)
11039,((¬p)(p∨q))⊢((¬p)→((¬p)∨p)),(¬p)(s∨s)((¬p)∨p)((¬p)∧((¬p)∨s))
11040,((r∧p)r)⊢(t∨(r∧p)),(p∧s)t((∨(p∧∧))(∨()
11041,(p(t∨q))⊢((t∨q)∨q),t(s∨r)((∨∨)((r∨()∨∨)
11042,(p(p∨(r∨q)))⊢(p∨s),r(s∨(t∨q))(r∨()∨(∨)
11043,(q(s∧t))⊢(q∨(s∧t)),p(s∧t)((∨(s∧t))(∨(∧))
11044,(((t→t)→r)s)⊢(s∨((t→t)→r)),((t→t)→q)s(((((r)→))→))(→∨((→)→))
11045,((q∧(¬t))(q∨s))⊢(q∨q),(q∨(¬q))(p→q)((q∧()∧))∧(∧))()
11046,((p∨(r∧s))p)⊢(q∨(p∨(r∧s))),(t∨(p∧p))s((∨((r∧p)))))(∨(∨(∧)))
11047,((¬t)(s∧(¬t)))⊢((¬t)→(p∨(¬t))),(¬s)(s∧(¬s))(s∨(¬p))((¬p)∧(s∨(¬s)))
11048,(q(r∨s))⊢(r∨s),q(s∨r)(r∧()∨))(∨)
11049,((r∨p)(r∨(q→q)))⊢(p∨(r∨p)),(s∨p)(s→(r∧s))((∨(p∨∨))(())
11050,(((¬p)→p)(q→s))⊢(s∨((¬p)→p)),((¬r)∨q)(t∧s)((∨((¬()))))())
11051,((p∨r)r)⊢(r∧(r∨p)),(t∨p)p(p∨p)(q∧(t∨p))
11052,(((q∧p)∨t)s)⊢(s∧(t∨s)),((s∧p)∨s)s(s∨s)(s∧(t∨t))
11053,(((t∧t)∧q)s)⊢(q∨q),((s∧p)∧p)p((∨∨)))
11054,((r→(r∧p))s)⊢(s∨p),(t→(p∧p))s((∨s))
11055,((r→p)(r∧s))⊢(q∨(r→p)),(s→s)(p∧p)((∨(s)∨))(∨(→))
11056,(t(t∧t))⊢(t∧(t∧t)),p(p∧s)(q∧(r∧p))
11057,(q(s∧(r∨p)))⊢(q∧(s∧(r∨p))),p(r∧(p∨s))(p→(r→(q∨s)))
11058,((¬p)q)⊢((¬p)∨s),(¬p)p((¬p)∨r)¬)
11059,(p(s→(s∧r)))⊢(p∧(s∨p)),q(r→(q∧p))(q∨p)(q∧(q∨p))
11060,(t((r∨r)∨r))⊢((r∨r)∨r),p((s∨p)∨s)(s∨()((r∨∨)∨s)∨
11061,((r∧s)s)⊢(r∨t),(t∧q)q((∨∨))
11062,(q((p∧t)∧r))⊢(t∨q),q((s∧p)∧p)((∨∨)(
11063,((¬s)s)⊢(((¬s)∨q)∨r),(¬p)p((¬p)∨t)(((¬q)∨s)∨s)
11064,(t(r→t))⊢((p∨t)∨t),t(s→p)(t∨p)((t∨q)∨s)
11065,(t((q∧r)∧p))⊢(t∨q),q((s∧p)∧p)((∨∨)(
11066,((q∨t)(¬s))⊢(r∨(q∨t)),(s∨q)(¬p)((∨(¬∨)))()∨(∨∨))
11067,((t∧(s∧r))(q∨q))⊢((t∧(s∧r))→(q∨q)),(r∧(p→q))(p→p)((q∧(p→s))→(s→s))
11068,((q∧t)((p→q)→q))⊢(p∨t),(q∧p)((p→t)→t)r(q∨p)
11069,(r(t∨(r∧r)))⊢(r∨r),q(r∨(r∧p))(r∨())
11070,(((t→r)→r)((¬t)∨r))⊢(((t→r)→r)→((¬t)∨r)),((s→q)→q)((¬t)→s)(((s→s)∨q)→((¬p)∨s))
11071,((p→p)p)⊢(p∧(r∨p)),(t→s)p(p∨p)(q∧(t∨q))
11072,((s∧q)s)⊢(s→((s∧q)→s)),(r∧p)q((p∧p)→s)(q∧((q∧q)→t))
11073,((s∧p)((s∨t)→s))⊢((s∧p)∨r),(q∧p)((p→t)→s)(((∧∧)∨∨))
11074,((p∨(p→q))(p→(q∧t)))⊢(q∨(p∨(p→q))),(s∨(p→q))(r→(r→s))((∨((∨(p)))))(∨(q∨(p∧r)))
11075,(q(s∧(p∧r)))⊢(q→(t∨q)),q(r∧(p∧p))(q∨p)(q→(q∨q))
11076,(p(r∧t))⊢(r∨p),q(s∧p)((∨∨))
11077,((s∨r)(¬s))⊢((¬s)→(s∨(¬s))),(s∨q)(¬p)(t∨(¬p))((¬p)∧(q∨(¬s)))
11078,((q∧t)((¬r)∧s))⊢((q∧t)∧((¬r)∧s)),(s∧p)((¬p)→s)((s→()∧((¬p)→∧))
